Vehicle Number,Challan No,Offence,Issued Date,State,Payment Due,Amount (INR),Status
UP32MM1113,DL/ONL/2026/00112,Over-speeding 80 in 60 zone,2026-02-04,Delhi,2026-04-04,2000,Pending Online
UP32MM1113,DL/ONL/2026/00115,Stop-line violation,2026-02-05,Delhi,2026-04-05,500,Pending Online
UP32MM1113,DL/ONL/2026/00128,No-entry violation,2026-02-09,Delhi,2026-04-09,500,Pending Online
HR55AB1234,DL/ONL/2026/00139,Wrong-side driving,2026-02-11,Delhi,2026-04-11,1500,Pending Online
UP32MM1113,DL/ONL/2026/00210,Improper parking,2026-02-18,Delhi,2026-04-18,500,Pending Online
RJ14CD5678,RJ/ONL/2026/00045,Over-speeding,2026-02-12,Rajasthan,2026-04-12,2000,Pending Online
RJ14CD5678,RJ/ONL/2026/00112,Mobile while driving,2026-02-19,Rajasthan,2026-04-19,5000,Pending Online
UK04EF9012,UK/ONL/2026/00078,No reflective tape,2026-02-14,Uttarakhand,2026-04-14,500,Pending Online
UP32MM1113,UP/ONL/2026/00211,Carrying excess load,2026-02-21,Uttar Pradesh,2026-04-21,2000,Pending Online
HR55AB1234,DL/ONL/2026/00318,Improper lane change,2026-02-26,Delhi,2026-04-26,1000,Pending Online
UK04EF9012,UK/ONL/2026/00102,Improper parking,2026-02-28,Uttarakhand,2026-04-28,500,Pending Online
RJ14CD5678,RJ/ONL/2026/00198,Without helmet (pillion),2026-02-23,Rajasthan,2026-04-23,1000,Pending Online
